AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
TCB03;;;ostřice žitná (<i>Carex secalina</i>)
TDA01;;;kakost luční (<i>Geranium pratense</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>), ovsík vyvýšený (<i>Arrhenatherum elatius</i>), psárka luční (<i>Alopecurus pratensis</i>), sveřep vzpřímený (<i>Bromus erectus</i>), trojštět žlutavý (<i>Trisetum flavescens</i>)
TDA02;;;kostřava červená (<i>Festuca rubra</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>), ovsík vyvýšený (<i>Arrhenatherum elatius</i>), trojštět žlutavý (<i>Trisetum flavescens</i>)
TDA03;;;kostřava červená (<i>Festuca rubra</i>), krvavec toten  (<i>Sanguisorba officinalis</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>), ovsík vyvýšený (<i>Arrhenatherum elatius</i>), psineček obecný (<i>Agrostis capillaris</i>), trojštět žlutavý (<i>Trisetum flavescens</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDA04;;;hvozdík kartouzek (<i>Dianthus carthusianorum</i>), kostřava červená (<i>Festuca rubra</i>), kostřava žlábkatá (<i>Festuca rupicola</i>), máchelka srstnatá (<i>Leontodon hispidus</i>), psineček obecný (<i>Agrostis capillaris</i>), trojštět žlutavý (<i>Trisetum flavescens</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDB01;;;kakost lesní (<i>Geranium sylvaticum</i>), kontryhel obecný (<i>Alchemilla vulgaris s. l.</i>), kostřava červená (<i>Festuca rubra</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), psineček obecný (<i>Agrostis capillaris</i>), srha laločnatá (<i>Dactylis glomerata</i>), trojštět žlutavý (<i>Trisetum flavescens</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDB02;;;kakost lesní (<i>Geranium sylvaticum</i>), kostřava červená (<i>Festuca rubra</i>), mochna zlatá (<i>Potentilla aurea</i>), psineček obecný (<i>Agrostis capillaris</i>)
TDB03;;;kakost lesní (<i>Geranium sylvaticum</i>), koprník štětinolistý (<i>Meum athamanticum</i>), kostřava červená (<i>Festuca rubra</i>), lipnice širolistá (<i>Poa chaixii</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), metlička křivolaká (<i>Avenella flexuosa</i>), psineček obecný (<i>Agrostis capillaris</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), smilka tuhá (<i>Nardus stricta</i>), svízel hercynský (<i>Galium saxatile</i>), mech (<i>Polytrichum commune</i>)
TDC01;;;jetel plazivý (<i>Trifolium repens</i>), kostřava červená (<i>Festuca rubra</i>), kostřava luční (<i>Festuca pratensis</i>), lipnice obecná (<i>Poa trivialis</i>), psineček obecný (<i>Agrostis capillaris</i>)
TDC02;;; 
TDC03;;;jetel plazivý (<i>Trifolium repens</i>), jílek vytrvalý (<i>Lolium perenne</i>), jitrocel větší (<i>Plantago major</i>), mochna husí (<i>Potentilla anserina</i>)
TDC04;;;černohlávek obecný (<i>Prunella vulgaris</i>), jetel plazivý (<i>Trifolium repens</i>), lipnice roční (<i>Poa annua</i>), psineček výběžkatý (<i>Agrostis stolonifera</i>), sítina tenká (<i>Juncus tenuis</i>)
TDC05;;;lipnice nízká (<i>Poa supina</i>)
TDD01;;;hrachor luční (<i>Lathyrus pratensis</i>), kostřava červená (<i>Festuca rubra</i>), krvavec toten  (<i>Sanguisorba officinalis</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), svízel severní pravý (<i>Galium boreale subsp. boreale</i>)
TDD02;;;kostřava červená (<i>Festuca rubra</i>), kostřava ovčí (<i>Festuca ovina</i>), krvavec toten  (<i>Sanguisorba officinalis</i>), okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), olešník kmínolistý (<i>Selinum carvifolia</i>), ostřice prosová (<i>Carex panicea</i>), smilka tuhá (<i>Nardus stricta</i>), mech (<i>Aulacomnium palustre</i>), mech (<i>Climacium dendroides</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDE01;;;kakost luční (<i>Geranium pratense</i>), kostřava luční (<i>Festuca pratensis</i>), lipnice obecná (<i>Poa trivialis</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>), pryskyřník plazivý (<i>Ranunculus repens</i>), psárka luční (<i>Alopecurus pratensis</i>), pýr plazivý  (<i>Elymus repens</i>)
TDE02;;;kostřava červená (<i>Festuca rubra</i>), kostřava luční (<i>Festuca pratensis</i>), krvavec toten  (<i>Sanguisorba officinalis</i>), medyněk vlnatý (<i>Holcus lanatus</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), pryskyřník plazivý (<i>Ranunculus repens</i>), psárka luční (<i>Alopecurus pratensis</i>), mech (<i>Brachythecium rutabulum</i>)
TDE03;;;chrastice rákosovitá (<i>Phalaris arundinacea</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), psárka luční (<i>Alopecurus pratensis</i>)
TDE04;;;kostřava luční (<i>Festuca pratensis</i>)
TDE05;;;okruh lipnice luční (<i>Poa pratensis agg.</i>), psárka luční (<i>Alopecurus pratensis</i>)
TDF01;;;blatouch bahenní (<i>Caltha palustris</i>), kakost bahenní (<i>Geranium palustre</i>), medyněk vlnatý (<i>Holcus lanatus</i>), ostřice štíhlá (<i>Carex acuta</i>), pcháč zelinný (<i>Cirsium oleraceum</i>), psárka luční (<i>Alopecurus pratensis</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), skřípina lesní (<i>Scirpus sylvaticus</i>), mech (<i>Brachythecium rutabulum</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDF02;;;kostřava červená (<i>Festuca rubra</i>), ostřice latnatá (<i>Carex paniculata</i>), pcháč potoční (<i>Cirsium rivulare</i>), skřípina lesní (<i>Scirpus sylvaticus</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Climacium dendroides</i>)
TDF03;;;blatouch bahenní (<i>Caltha palustris</i>), ostřice obecná (<i>Carex nigra</i>), pryskyřník prudký (<i>Ranunculus acris</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), sítina niťovitá (<i>Juncus filiformis</i>), mech (<i>Aulacomnium palustre</i>), mech (<i>Climacium dendroides</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDF04;;;blatouch bahenní (<i>Caltha palustris</i>), psineček psí (<i>Agrostis canina</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), sítina niťovitá (<i>Juncus filiformis</i>), sítina ostrokvětá (<i>Juncus acutiflorus</i>), štírovník bažinný (<i>Lotus pedunculatus</i>), violka bahenní (<i>Viola palustris</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDF05;;;krvavec toten  (<i>Sanguisorba officinalis</i>), okruh pomněnky bahenní (<i>Myosotis palustris agg.</i>), pcháč různolistý (<i>Cirsium heterophyllum</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), řeřišničník Hallerův (<i>Arabidopsis halleri</i>), skřípina lesní (<i>Scirpus sylvaticus</i>)
TDF06;;;blatouch bahenní (<i>Caltha palustris</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), pcháč potoční (<i>Cirsium rivulare</i>), řeřišnice hořká pravá (<i>Cardamine amara subsp. amara</i>), skřípina lesní (<i>Scirpus sylvaticus</i>), škarda bahenní (<i>Crepis paludosa</i>), mech (<i>Calliergonella cuspidata</i>), mech (<i>Plagiomnium affine</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TDF07;;;hrachor luční (<i>Lathyrus pratensis</i>), lipnice obecná (<i>Poa trivialis</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>), ostřice prosová (<i>Carex panicea</i>), ostřice štíhlá (<i>Carex acuta</i>), ostřice trsnatá (<i>Carex cespitosa</i>), pcháč šedý (<i>Cirsium canum</i>), pryskyřník plazivý (<i>Ranunculus repens</i>), přeslička bahenní (<i>Equisetum palustre</i>), psárka luční (<i>Alopecurus pratensis</i>), skřípina lesní (<i>Scirpus sylvaticus</i>)
TDF08;;;blatouch bahenní (<i>Caltha palustris</i>), skřípina lesní (<i>Scirpus sylvaticus</i>)
TDF09;;;ostřice trsnatá (<i>Carex cespitosa</i>), pcháč zelinný (<i>Cirsium oleraceum</i>), pryskyřník plazivý (<i>Ranunculus repens</i>)
TDF10;;;ostřice třeslicovitá (<i>Carex brizoides</i>), pcháč zelinný (<i>Cirsium oleraceum</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), skřípina lesní (<i>Scirpus sylvaticus</i>), tužebník jilmový (<i>Filipendula ulmaria</i>)
TDF11;;;lipnice obecná (<i>Poa trivialis</i>), máta dlouholistá (<i>Mentha longifolia</i>), ostřice chabá (<i>Carex flacca</i>), ostřice prosová (<i>Carex panicea</i>), ostřice srstnatá (<i>Carex hirta</i>), pcháč potoční (<i>Cirsium rivulare</i>), přeslička bahenní (<i>Equisetum palustre</i>), sítina sivá (<i>Juncus inflexus</i>), mech (<i>Calliergonella cuspidata</i>)
TDF12;;;kakost bahenní (<i>Geranium palustre</i>), pcháč zelinný (<i>Cirsium oleraceum</i>), tužebník jilmový (<i>Filipendula ulmaria</i>)
TDF13;;;tužebník jilmový (<i>Filipendula ulmaria</i>), vrbina obecná (<i>Lysimachia vulgaris</i>)
TDF14;;;krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), pcháč různolistý (<i>Cirsium heterophyllum</i>), tužebník jilmový (<i>Filipendula ulmaria</i>)
TEA01;;;metlička křivolaká (<i>Avenella flexuosa</i>), smilka tuhá (<i>Nardus stricta</i>)
TEA02;;;metlička křivolaká (<i>Avenella flexuosa</i>), smilka tuhá (<i>Nardus stricta</i>)
TEB01;;;kostřava červená (<i>Festuca rubra</i>), metlička křivolaká (<i>Avenella flexuosa</i>), psineček obecný (<i>Agrostis capillaris</i>), rdesno hadí kořen (<i>Bistorta officinalis</i>), smilka tuhá (<i>Nardus stricta</i>), svízel hercynský (<i>Galium saxatile</i>)
TEC01;;;mochna nátržník (<i>Potentilla erecta</i>), psineček obecný (<i>Agrostis capillaris</i>), smilka tuhá (<i>Nardus stricta</i>), mech (<i>Aulacomnium palustre</i>), mech (<i>Pleurozium schreberi</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TEC02;;;chlupáček zední (<i>Pilosella officinarum</i>), kostřava červená (<i>Festuca rubra</i>), máchelka srstnatá (<i>Leontodon hispidus</i>), mateřídouška vejčitá (<i>Thymus pulegioides</i>), mochna nátržník (<i>Potentilla erecta</i>), okruh biky ladní (<i>Luzula campestris agg.</i>), psineček obecný (<i>Agrostis capillaris</i>), štírovník růžkatý (<i>Lotus corniculatus</i>), trojzubec poléhavý (<i>Danthonia decumbens</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>), mech (<i>Rhytidiadelphus squarrosus</i>)
TED01;;;bezkolenec modrý (<i>Molinia caerulea</i>), mochna nátržník (<i>Potentilla erecta</i>), psineček obecný (<i>Agrostis capillaris</i>), sítina kostrbatá (<i>Juncus squarrosus</i>), smilka tuhá (<i>Nardus stricta</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum girgensohnii</i>)
TEE01;;;vřes obecný (<i>Calluna vulgaris</i>)
TEF01;;;brusnice brusinka (<i>Vaccinium vitis-idaea</i>), smilka tuhá (<i>Nardus stricta</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Pleurozium schreberi</i>)
TEF02;;;brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice brusinka (<i>Vaccinium vitis-idaea</i>), metlička křivolaká (<i>Avenella flexuosa</i>), smilka tuhá (<i>Nardus stricta</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Pleurozium schreberi</i>)
TEF03;;;bezkolenec modrý (<i>Molinia caerulea</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>)
TFA01;;;kolenec Morisonův (<i>Spergula morisonii</i>), mateřídouška úzkolistá (<i>Thymus serpyllum</i>), paličkovec šedavý (<i>Corynephorus canescens</i>)
TFA02;;;kostřava písečná pravá (<i>Festuca psammophila subsp. psammophila</i>), paličkovec šedavý (<i>Corynephorus canescens</i>), psineček obecný (<i>Agrostis capillaris</i>), pýr plazivý  (<i>Elymus repens</i>), sinokvět chrpovitý (<i>Jurinea cyanoides</i>)
TFB01;;;ovsíček časný (<i>Aira praecox</i>)
TFB02;;;mrvka myší ocásek (<i>Vulpia myuros</i>)
TFC01;;;kostřava drsnolistá (<i>Festuca brevipila</i>), psineček obecný (<i>Agrostis capillaris</i>)
TFC02;;;kostřava ovčí (<i>Festuca ovina</i>), mech (<i>Ceratodon purpureus</i>)
TFD01;;;chmerek vytrvalý (<i>Scleranthus perennis</i>), kostřava ovčí (<i>Festuca ovina</i>), lišejník (<i>Cladonia furcata</i>), lišejník (<i>Cladonia rangiformis</i>), mech (<i>Ceratodon purpureus</i>), mech (<i>Polytrichum piliferum</i>), mech (<i>Syntrichia ruralis</i>)
TFD02;;;kostřava ovčí (<i>Festuca ovina</i>), lišejník (<i>Cladonia arbuscula</i>), mech (<i>Hypnum cupressiforme</i>), mech (<i>Pleurozium schreberi</i>), mech (<i>Polytrichum piliferum</i>), mech (<i>Racomitrium canescens</i>)
TFE01;;;mochna písečná (<i>Potentilla incana</i>), osívka jarní (<i>Erophila verna</i>), mech (<i>Ceratodon purpureus</i>), mech (<i>Polytrichum piliferum</i>)
TFF01;;; 
TFF02;;;rozchodník bílý (<i>Sedum album</i>)
TGA01;;;kostřava písečná Dominova (<i>Festuca psammophila subsp. dominii</i>), paličkovec šedavý (<i>Corynephorus canescens</i>), psineček tuhý (<i>Agrostis vinealis</i>), lišejník (<i>Cladonia rangiformis</i>), mech (<i>Ceratodon purpureus</i>)
THA01;;;kostřava sivá (<i>Festuca pallens s. l. (excl. F. psammophila)</i>)
THA02;;;kostřava sivá (<i>Festuca pallens s. l. (excl. F. psammophila)</i>)
THA03;;;česnek šerý horský (<i>Allium senescens subsp. montanum</i>)
THA04;;;kostřava sivá (<i>Festuca pallens s. l. (excl. F. psammophila)</i>), ostřice nízká (<i>Carex humilis</i>), mech (<i>Ceratodon purpureus</i>), mech (<i>Hypnum cupressiforme</i>)
THB01;;;mochna písečná (<i>Potentilla incana</i>)
THC01;;;pěchava vápnomilná (<i>Sesleria caerulea</i>)
THC02;;;pěchava vápnomilná (<i>Sesleria caerulea</i>)
THC03;;;pěchava vápnomilná (<i>Sesleria caerulea</i>), mech (<i>Hypnum cupressiforme</i>)
THC04;;;pěchava vápnomilná (<i>Sesleria caerulea</i>), mech (<i>Hylocomium splendens</i>)
THD01;;;kavyl vláskovitý (<i>Stipa capillata</i>), kostřava walliská (<i>Festuca valesiaca</i>), kostřava žlábkatá (<i>Festuca rupicola</i>), smělek štíhlý (<i>Koeleria macrantha</i>)
THD02;;;kostřava walliská (<i>Festuca valesiaca</i>), mochna písečná (<i>Potentilla incana</i>), smělek štíhlý (<i>Koeleria macrantha</i>)
THD03;;;kostřava žlábkatá (<i>Festuca rupicola</i>), okruh lipnice luční (<i>Poa pratensis agg.</i>), ostřice nízká (<i>Carex humilis</i>), pelyněk ladní (<i>Artemisia campestris</i>)
THD04;;;kavyl Ivanův (<i>Stipa pennata</i>), kavyl olysalý (<i>Stipa glabrata</i>), kavyl sličný (<i>Stipa pulcherrima</i>), ostřice nízká (<i>Carex humilis</i>), pýr plazivý  (<i>Elymus repens</i>)
THD05;;;kavyl tenkolistý (<i>Stipa tirsa</i>)
THD06;;; 
THE01;;;kostřava žlábkatá (<i>Festuca rupicola</i>), ostřice chabá (<i>Carex flacca</i>), ostřice nízká (<i>Carex humilis</i>), sveřep vzpřímený (<i>Bromus erectus</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
THE02;;;ostřice nízká (<i>Carex humilis</i>), pěchava vápnomilná (<i>Sesleria caerulea</i>)
THE03;;;okruh bílojetele pětilistého (<i>Dorycnium pentaphyllum agg.</i>), oman mečolistý (<i>Inula ensifolia</i>), ostřice nízká (<i>Carex humilis</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
THE04;;;ostřice chabá (<i>Carex flacca</i>), psineček veliký (<i>Agrostis gigantea</i>), sveřep vzpřímený (<i>Bromus erectus</i>)
THF01;;;kostřava žlábkatá (<i>Festuca rupicola</i>), smělek jehlancovitý (<i>Koeleria pyramidata</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>), mech (<i>Abietinella abietina</i>), mech (<i>Hypnum cupressiforme</i>)
THF02;;;bezkolenec rákosovitý (<i>Molinia arundinacea</i>), kavyl tenkolistý (<i>Stipa tirsa</i>), ostřice horská  (<i>Carex montana</i>)
THG01;;;kostřava ovčí (<i>Festuca ovina</i>), kostřava žlábkatá (<i>Festuca rupicola</i>), ovsíř luční (<i>Helictochloa pratensis</i>), lišejník (<i>Cladonia rangiformis</i>), mech (<i>Ceratodon purpureus</i>), mech (<i>Hypnum cupressiforme</i>)
THG02;;;kostřava walliská (<i>Festuca valesiaca</i>), mech (<i>Hypnum cupressiforme</i>)
THG03;;;jetel alpínský (<i>Trifolium alpestre</i>), mech (<i>Hypnum cupressiforme</i>)
THH01;;;kakost krvavý (<i>Geranium sanguineum</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
THH02;;;třemdava bílá (<i>Dictamnus albus</i>)
THH03;;;oman srstnatý (<i>Inula hirta</i>), oman vrbolistý (<i>Inula salicina</i>), ostřice nízká (<i>Carex humilis</i>), smldník jelení (<i>Peucedanum cervaria</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
THI01;;;jetel prostřední (<i>Trifolium medium</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
THI02;;;černýš hajní (<i>Melampyrum nemorosum</i>), psineček obecný (<i>Agrostis capillaris</i>)
VAA01;;;okřehek menší (<i>Lemna minor</i>), okřehek trojbrázdý (<i>Lemna trisulca</i>)
VAA02;;;okřehek menší (<i>Lemna minor</i>)
VAA03;;;okřehek červený (<i>Lemna turionifera</i>), okřehek menší (<i>Lemna minor</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>)
VAA04;;;okřehek menší (<i>Lemna minor</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>)
VAA05;;;okřehek hrbatý (<i>Lemna gibba</i>), okřehek menší (<i>Lemna minor</i>)
VAA06;;;drobnička bezkořenná (<i>Wolffia arrhiza</i>), okřehek menší (<i>Lemna minor</i>), okřehek trojbrázdý (<i>Lemna trisulca</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>)
VAA07;;;nepukalka vzplývající (<i>Salvinia natans</i>), okřehek menší (<i>Lemna minor</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>), mech (<i>Ricciocarpos natans</i>)
VAA08;;;azola americká (<i>Azolla filiculoides</i>)
VAA09;;;okřehek menší (<i>Lemna minor</i>), okřehek trojbrázdý (<i>Lemna trisulca</i>), mech (<i>Riccia fluitans</i>)
VAA10;;;okřehek menší (<i>Lemna minor</i>), mech (<i>Riccia rhenana</i>)
VAA11;;;okřehek menší (<i>Lemna minor</i>), mech (<i>Riccia fluitans</i>), mech (<i>Ricciocarpos natans</i>)
VAB01;;;bublinatka obecná (<i>Utricularia vulgaris</i>), okřehek menší (<i>Lemna minor</i>), řasa (<i>Chara hispida</i>)
VAB02;;;bublinatka jižní (<i>Utricularia australis</i>), okřehek menší (<i>Lemna minor</i>)
VAC01;;;okřehek menší (<i>Lemna minor</i>), růžkatec ostnitý (<i>Ceratophyllum demersum</i>), voďanka žabí (<i>Hydrocharis morsus-ranae</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>)
VAC02;;;okřehek menší (<i>Lemna minor</i>), růžkatec ostnitý (<i>Ceratophyllum demersum</i>), řezan pilolistý (<i>Stratiotes aloides</i>), voďanka žabí (<i>Hydrocharis morsus-ranae</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>)
VAC03;;;okřehek menší (<i>Lemna minor</i>), růžkatec ostnitý (<i>Ceratophyllum demersum</i>)
VAC04;;;okřehek menší (<i>Lemna minor</i>), růžkatec bradavčitý (<i>Ceratophyllum submersum</i>)
VBA01;;;stulík žlutý (<i>Nuphar lutea</i>)
VBA02;;;leknín bílý (<i>Nymphaea alba</i>), růžkatec ostnitý (<i>Ceratophyllum demersum</i>), stulík žlutý (<i>Nuphar lutea</i>)
VBA03;;;leknín bělostný (<i>Nymphaea candida</i>), rdest vzplývavý (<i>Potamogeton natans</i>)
VBA04;;;stulík malý (<i>Nuphar pumila</i>), vodní mor kanadský (<i>Elodea canadensis</i>)
VBA05;;;kotvice plovoucí (<i>Trapa natans</i>), růžkatec ostnitý (<i>Ceratophyllum demersum</i>)
VBA06;;;plavín štítnatý (<i>Nymphoides peltata</i>)
VBA07;;;rdesno obojživelné (<i>Persicaria amphibia</i>)
VBB01;;;rdest vzplývavý (<i>Potamogeton natans</i>)
VBB02;;;rdest trávolistý (<i>Potamogeton gramineus</i>), rdestík hřebenitý (<i>Stuckenia pectinata</i>), žabník trávolistý (<i>Alisma gramineum</i>)
VBB03;;;rdest rdesnolistý (<i>Potamogeton polygonifolius</i>)
VBB04;;;okřehek menší (<i>Lemna minor</i>), rdest světlý (<i>Potamogeton lucens</i>)
VBB05;;;rdest prorostlý (<i>Potamogeton perfoliatus</i>)
VBB06;;;vodní mor kanadský (<i>Elodea canadensis</i>)
VBB07;;;stolístek klasnatý (<i>Myriophyllum spicatum</i>)
VBB08;;;okřehek menší (<i>Lemna minor</i>), okřehek trojbrázdý (<i>Lemna trisulca</i>), stolístek klasnatý (<i>Myriophyllum spicatum</i>), stolístek přeslenatý (<i>Myriophyllum verticillatum</i>), závitka mnohokořenná (<i>Spirodela polyrhiza</i>)
VBB09;;;rdest alpský (<i>Potamogeton alpinus</i>), vodní mor kanadský (<i>Elodea canadensis</i>)
VBB10;;;rdest hustolistý  (<i>Groenlandia densa</i>)
VBB11;;;rdest uzlinatý (<i>Potamogeton nodosus</i>)
VBB12;;;rdest dlouholistý (<i>Potamogeton praelongus</i>)
VBB13;;;Rdest úzkolistý (<i>Potamogeton x angustifolius</i>)
VBB14;;;rdest maličký (<i>Potamogeton pusillus</i>), rdestík hřebenitý (<i>Stuckenia pectinata</i>), šejdračka bahenní (<i>Zannichellia palustris</i>)
VBB15;;;rdest vláskovitý (<i>Potamogeton trichoides</i>), růžkatec ostnitý (<i>Ceratophyllum demersum</i>)
VBB16;;;řečanka přímořská (<i>Najas marina</i>)
VBB17;;;růžkatec ostnitý (<i>Ceratophyllum demersum</i>), řečanka menší  (<i>Najas minor</i>)
VBB18;;;rdest kadeřavý (<i>Potamogeton crispus</i>)
VBB19;;;rdest tupolistý (<i>Potamogeton obtusifolius</i>)
VBB20;;;rdestík hřebenitý (<i>Stuckenia pectinata</i>)
VBB21;;;okruh rdestu maličkého (<i>Potamogeton pusillus agg.</i>)
VBB22;;;okruh rdestu maličkého (<i>Potamogeton pusillus agg.</i>), rdest ostrolistý (<i>Potamogeton acutifolius</i>), řasa (<i>Chara vulgaris</i>)
VBB23;;;rdest hrotitý (<i>Potamogeton friesii</i>)
VBC01;;;lakušník štětičkový  (<i>Batrachium penicillatum</i>), lakušník vzplývavý (<i>Batrachium fluitans</i>)
VBC02;;;hvězdoš háčkatý (<i>Callitriche hamulata</i>), lakušník štítnatý (<i>Batrachium peltatum</i>), stolístek střídavolistý (<i>Myriophyllum alterniflorum</i>)
VBC03;;;hvězdoš háčkatý (<i>Callitriche hamulata</i>), lakušník štítnatý (<i>Batrachium peltatum</i>), mech (<i>Fontinalis antipyretica</i>)
VBD01;;;lakušník vodní (<i>Batrachium aquatile</i>)
VBD02;;;bahnička jehlovitá (<i>Eleocharis acicularis</i>), lakušník niťolistý (<i>Batrachium trichophyllum</i>), okřehek menší (<i>Lemna minor</i>)
VBD03;;;lakušník okrouhlý (<i>Batrachium circinatum</i>)
VBD04;;;lakušník Baudotův (<i>Batrachium baudotii</i>), lakušník Rionův (<i>Batrachium rionii</i>), okřehek trojbrázdý (<i>Lemna trisulca</i>), pryskyřník lítý (<i>Ranunculus sceleratus</i>)
VBD05;;;lakušník Baudotův (<i>Batrachium baudotii</i>)
VBD06;;;okřehek menší (<i>Lemna minor</i>), žebratka bahenní (<i>Hottonia palustris</i>)
VBD07;;;hvězdoš podzimní (<i>Callitriche hermaphroditica</i>)
VCA01;;;řasa (<i>Nitella flexilis</i>)
VCA02;;;rdest maličký (<i>Potamogeton pusillus</i>), úpor trojmužný (<i>Elatine triandra</i>), řasa (<i>Chara braunii</i>)
VCB01;;;řasa (<i>Chara globularis</i>)
VCB02;;;řasa (<i>Chara hispida</i>)
VCB03;;;řasa (<i>Chara vulgaris</i>)
VCB04;;;řasa (<i>Tolypella glomerata</i>)
VCB05;;;řasa (<i>Tolypella intricata</i>)
VDA01;;; 
VDA02;;; 
VDB01;;;bahnička jehlovitá (<i>Eleocharis acicularis</i>), jetel ladní (<i>Trifolium campestre</i>), pobřežnice jednokvětá (<i>Littorella uniflora</i>)
VDB02;;;bahnička jehlovitá (<i>Eleocharis acicularis</i>), okruh hvězdoše jarního (<i>Callitriche palustris agg.</i>), pryskyřník plamének (<i>Ranunculus flammula</i>), psineček psí (<i>Agrostis canina</i>), sítina cibulkatá (<i>Juncus bulbosus</i>)
VDB03;;;bahnička jehlovitá (<i>Eleocharis acicularis</i>)
VDB04;;;míčovka kulkonosná (<i>Pilularia globulifera</i>), rdesno blešník (<i>Persicaria lapathifolia</i>)
VDB05;;;žabníček vzplývavý (<i>Luronium natans</i>)
VDC01;;;zevar nejmenší (<i>Sparganium natans</i>), mech (<i>Calliergon cordifolium</i>)
VDC02;;;bublinatka bledožlutá (<i>Utricularia ochroleuca</i>), bublinatka prostřední (<i>Utricularia intermedia</i>), okřehek menší (<i>Lemna minor</i>), ostřice plstnatoplodá (<i>Carex lasiocarpa</i>), ostřice šlahounovitá (<i>Carex chordorrhiza</i>), sítina cibulkatá (<i>Juncus bulbosus</i>), suchopýr úzkolistý (<i>Eriophorum angustifolium</i>), vachta trojlistá (<i>Menyanthes trifoliata</i>), mech (<i>Sphagnum affine</i>), mech (<i>Sphagnum auriculatum</i>)
VDC03;;;mech (<i>Campylium stellatum</i>), mech (<i>Scorpidium cossonii</i>), mech (<i>Scorpidium scorpioides</i>)
XAA01;;;truskavec obecný (<i>Polygonum arenastrum</i>)
XAA02;;;truskavec obecný (<i>Polygonum arenastrum</i>), tužanka tvrdá (<i>Sclerochloa dura</i>)
XAA03;;;truskavec obecný (<i>Polygonum arenastrum</i>), vranožka šupinatá (<i>Lepidium coronopus</i>)
XAA04;;;milička menší (<i>Eragrostis minor</i>), truskavec obecný (<i>Polygonum arenastrum</i>), mech (<i>Bryum argenteum</i>)
XAB01;;;truskavec obecný (<i>Polygonum arenastrum</i>), úrazník položený (<i>Sagina procumbens</i>), mech (<i>Brachythecium albicans</i>), mech (<i>Bryum argenteum</i>), mech (<i>Ceratodon purpureus</i>)
XAB02;;;průtržník lysý (<i>Herniaria glabra</i>)
XAB03;;;kuřinka červená (<i>Spergularia rubra</i>)
XAB04;;;jitrocel větší (<i>Plantago major</i>), lipnice roční (<i>Poa annua</i>)
XAB05;;;heřmánek terčovitý (<i>Matricaria discoidea</i>), truskavec obecný (<i>Polygonum arenastrum</i>)
XBA01;;;hořčice polní (<i>Sinapis arvensis</i>), pryšec drobný (<i>Euphorbia exigua</i>)
