AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
LBA01;;;devětsil bílý (<i>Petasites albus</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), olše šedá (<i>Alnus incana</i>), ostřice třeslicovitá (<i>Carex brizoides</i>), pérovník pštrosí (<i>Matteuccia struthiopteris</i>), ptačinec hajní (<i>Stellaria nemorum</i>), mech (<i>Plagiomnium affine</i>)
LBA02;;;metlice trsnatá (<i>Deschampsia cespitosa</i>), olše lepkavá (<i>Alnus glutinosa</i>), olše šedá (<i>Alnus incana</i>), ostřice řídkoklasá (<i>Carex remota</i>), přeslička lesní (<i>Equisetum sylvaticum</i>), smrk ztepilý (<i>Picea abies</i>), šťavel kyselý (<i>Oxalis acetosella</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>)
LBA03;;;jasan ztepilý (<i>Fraxinus excelsior</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), krabilice chlupatá (<i>Chaerophyllum hirsutum</i>), olše lepkavá (<i>Alnus glutinosa</i>), ostřice řídkoklasá (<i>Carex remota</i>), ostřice třeslicovitá (<i>Carex brizoides</i>), ptačinec hajní (<i>Stellaria nemorum</i>), řeřišnice hořká (<i>Cardamine amara</i>), škarda bahenní (<i>Crepis paludosa</i>), šťavel kyselý (<i>Oxalis acetosella</i>), tužebník jilmový (<i>Filipendula ulmaria</i>)
LBA04;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), bršlice kozí noha (<i>Aegopodium podagraria</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), olše lepkavá (<i>Alnus glutinosa</i>), orsej jarní (<i>Ficaria verna</i>), ptačinec hajní (<i>Stellaria nemorum</i>), sasanka hajní (<i>Anemone nemorosa</i>)
LBA05;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), bršlice kozí noha (<i>Aegopodium podagraria</i>), chrastice rákosovitá (<i>Phalaris arundinacea</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), netýkavka nedůtklivá (<i>Impatiens noli-tangere</i>), olše lepkavá (<i>Alnus glutinosa</i>), orsej jarní (<i>Ficaria verna</i>), střemcha obecná pravá (<i>Prunus padus subsp. padus</i>)
LBA06;;;bršlice kozí noha (<i>Aegopodium podagraria</i>), česnek medvědí (<i>Allium ursinum</i>), dub letní (křemelák) (<i>Quercus robur</i>), dymnivka dutá (<i>Corydalis cava</i>), jasan ztepilý (<i>Fraxinus excelsior</i>), lípa srdčitá (<i>Tilia cordata</i>), netýkavka malokvětá (<i>Impatiens parviflora</i>), orsej jarní (<i>Ficaria verna</i>), ostřice třeslicovitá (<i>Carex brizoides</i>), sasanka hajní (<i>Anemone nemorosa</i>), střemcha obecná pravá (<i>Prunus padus subsp. padus</i>)
LBA07;;;česnek medvědí (<i>Allium ursinum</i>), dub letní (křemelák) (<i>Quercus robur</i>), habr obecný (<i>Carpinus betulus</i>), hluchavka skvrnitá (<i>Lamium maculatum</i>), jasan úzkolistý (<i>Fraxinus angustifolia</i>), javor babyka (<i>Acer campestre</i>), kopřiva dvoudomá (<i>Urtica dioica</i>), lípa srdčitá (<i>Tilia cordata</i>), metlice trsnatá (<i>Deschampsia cespitosa</i>), okruh astřičky novobelgické (<i>Symphyotrichum novi-belgii agg.</i>), okruh popence obecného (<i>Glechoma hederacea agg.</i>), ostružiník ježiník (<i>Rubus caesius</i>), pitulník horský (<i>Galeobdolon montanum</i>), srha hajní (<i>Dactylis polygama</i>), svída krvavá (<i>Cornus sanguinea</i>), svízel vonný (<i>Galium odoratum</i>), válečka lesní (<i>Brachypodium sylvaticum</i>)
LBB01;;;dub letní (křemelák) (<i>Quercus robur</i>), habr obecný (<i>Carpinus betulus</i>), konvalinka vonná (<i>Convallaria majalis</i>), lipnice hajní (<i>Poa nemoralis</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ptačinec velkokvětý (<i>Stellaria holostea</i>), sasanka hajní (<i>Anemone nemorosa</i>), svízel vonný (<i>Galium odoratum</i>)
LBB02;;;bažanka vytrvalá (<i>Mercurialis perennis</i>), bršlice kozí noha (<i>Aegopodium podagraria</i>), dub letní (křemelák) (<i>Quercus robur</i>), habr obecný (<i>Carpinus betulus</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), svízel vonný (<i>Galium odoratum</i>)
LBB03;;;buk lesní (<i>Fagus sylvatica</i>), dub letní (křemelák) (<i>Quercus robur</i>), habr obecný (<i>Carpinus betulus</i>), hvězdnatec zubatý (<i>Hacquetia epipactis</i>), lípa srdčitá (<i>Tilia cordata</i>), okruh dub zimního (<i>Quercus petraea agg.</i>), ostřice chlupatá (<i>Carex pilosa</i>), sasanka hajní (<i>Anemone nemorosa</i>), strdivka jednokvětá (<i>Melica uniflora</i>), svízel vonný (<i>Galium odoratum</i>)
